Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bolivia,installed capacity ,Central & South America,0.508,0.517,0.562,0.471,0.469,0.469,0.469,0.606,0.609,0.633,0.702,0.702,0.701,0.756,0.8044,0.803,0.805,0.9886,1.0612,1.3446,1.3409,1.2433,1.4019,1.32859,1.47119,1.42979,1.454,1.584,1.539,1.604,1.716,1.752,1.95,2.188,2.313,2.539,2.5765,2.7325,2.84292,3.839,3.85,4.028
        Brazil,installed capacity ,Central & South America,31.606,35.84,37.915,38.96,39.87,42.164,42.969,45.557,47.537,50.092,50.968,52.05,53.069,54.108,55.493,56.885,59.263,60.794,62.84,65.591,76.403,78.909,85.044,89.119,93.77465,96.621,100.712,104.339,107.702,112.164,120.582,126.041,130.787,138.246,146.156,154.087,164.544,172.169,178.681,187.631,195.035,204.999
        British Virgin Islands,installed capacity ,Central & South America,0.005,0.005,0.01,0.01,0.01,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.039,0.042,0.042,0.042,0.042,0.044,0.0451,0.0451,0.0451,0.0446,0.0446,0.0447,0.0447,0.0315,0.0327,0.0327,0.0337,0.0337
        Cayman Islands,installed capacity ,Central & South America,0.016,0.02,0.023,0.028,0.031,0.035,0.044,0.048,0.059,0.06,0.075,0.075,0.075,0.075,0.075,0.076,0.076,0.094,0.094,0.094,0.094,0.115,0.115,0.115,0.1274,0.11463,0.11463,0.124,0.1366,0.1526,0.151,0.15123,0.15,0.15,0.132,0.132,0.164,0.17,0.1709,0.1719,0.1739,0.1749
        Chile,installed capacity ,Central & South America,3.209,3.357,3.344,3.352,3.967,3.987,4.033,4.015,4.079,4.079,4.418,5.161,5.173,5.205,5.835,6.295,7.592,7.89,8.735,9.052,9.894,10.493,10.542,10.993,11.87,12.586,12.865,13.18,14.019,16.196,16.732,18.116,19.012,19.782,21.439,22.402,25.456,27.341462,28.298514,28.186801,30.453282,32.658282
        Colombia,installed capacity ,Central & South America,4.636,4.861,5.616,6.255,6.85,7.098,6.872,8.523,9.331,8.793,8.849,9.599,11.024,12.185,12.658,12.647,13.514,14.614,12.818,13.2236,12.795,13.5426,13.86549,13.261,13.465,13.63698,13.67198,13.70698,14.0085,14.0485,14.8495,15.0975,15.06742,16.212979,17.197079,17.849079,17.85962,18.154587,19.047527,19.406009,19.26476,19.43476
        Costa Rica,installed capacity ,Central & South America,0.609,0.643,0.817,0.819,0.819,0.78,0.771,0.866,0.873,0.874,0.893,1.011,1.043,1.042,1.045,1.168,1.271,1.345,1.345,1.354,1.70981,1.72657,1.80355,1.9552,1.9802,1.99305,2.127,2.12,2.383,2.477,2.8869,2.9,2.772,2.814316,2.867916,3.144783,3.581783,3.603674,3.717941,3.692092,3.672954,3.737954
        Cuba,installed capacity ,Central & South America,2.756,2.975,3,3.111,3.229,3.419,3.532,3.841,3.988,3.988,3.988,3.988,3.988,3.988,3.988,3.988,4.325,4.331,4.337,4.2864,4.4874,4.4119,3.9597,3.9608,3.9479,4.9518,5.6215,5.979,5.9512,6.1052,6.4133,6.4686,6.2177,6.3997,6.7026,6.846,6.9511,7.00016,7.218565,7.3636,7.5326,7.5586
        Dominica,installed capacity ,Central & South America,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.019,0.019,0.019,0.019,0.0186,0.0205,0.0222,0.0209,0.0217,0.0354,0.0373,0.0379,0.04,0.03657,0.03936,0.04006,0.0401,0.04,0.04136,0.04236,0.04236,0.04279,0.0428,0.040485,0.042485,0.042485,0.042485
        Dominican Republic,installed capacity ,Central & South America,0.96,0.96,0.96,0.96,0.96,0.96,1.065,1.405,1.405,1.447,1.46,1.46,1.61,1.61,1.612,1.612,1.638,2.629,2.9405,3.0805,3.0805,5.0825,5.034,5.452,5.321,5.52861,5.528,3.5463,3.34686,3.36236,3.39236,4.9417,5.2404,5.338101,5.40684,5.231875,5.24852,5.17587,5.2566,5.7436,5.6896,5.8006
        Ecuador,installed capacity ,Central & South America,1.194,1.335,1.833,1.778,1.795,1.802,1.956,1.966,1.914,1.903,1.671,1.684,2.294,2.4464,2.563,2.55,2.739,3.126,3.4192,3.4806,3.49854,3.13591,3.26763,3.30258,3.35869,3.62316,4.061,4.552,4.284,4.51815,4.88559,5.12596,5.19125,5.95019,6.24085,6.57044,8.74471,8.57993,8.98037,9.34019,9.35393,9.38637
        El Salvador,installed capacity ,Central & South America,0.404,0.405,0.405,0.59,0.626,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.646,0.766,0.766,0.857,0.857,0.857,0.8539,0.9503,1.0223,1.1293,1.0561,1.1063,1.1161,1.2508,1.3301,1.4738,1.5326,1.5821,1.6101,1.69575,1.74285,1.8527,1.889223,1.8621,1.9768,2.1818,2.31539,2.54456,2.67236,2.67036
        Falkland Islands,installed capacity ,Central & South America,0.001,0.001,0.001,0.004,0.005,0.006,0.006,0.006,0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.01,0.01,0.01,0.01,0.01,0.01,0.01092,0.01092,0.01099,0.01099,0.01099,0.01099,0.01099,0.01099,0.01099
        French Guiana,installed capacity ,Central & South America,0.031,0.034,0.051,0.06,0.071,0.075,0.089,0.089,0.089,0.095,0.125,0.155,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.17,0.255,0.242,0.242,0.242,0.242,0.242,0.242,0.2439,0.2469,0.2679,0.2779,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Grenada,installed capacity ,Central & South America,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.012,0.012,0.025,0.025,0.025,0.028,0.0272,0.027,0.027,0.032,0.032,0.032,0.032,0.032,0.0322,0.04973,0.04835,0.04865,0.05003,0.04865,0.04935,0.04935,0.04923,0.05023,0.05203,0.05549,0.05549,0.05649,0.05649
        Guadeloupe,installed capacity ,Central & South America,0.115,0.145,0.183,0.2,0.246,0.253,0.26,0.318,0.318,0.315,0.32,0.324,0.328,0.372,0.372,0.393,0.412,0.412,0.413,0.413,0.455,0.457,0.461,0.4785,0.4812,0.4825,0.4865,0.4865,0.4435,0.4545,0.4693,0.4778,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Guatemala,installed capacity ,Central & South America,0.5,0.497,0.717,0.735,0.769,0.769,0.771,0.771,0.696,0.696,0.751,0.751,0.751,0.821,0.836,0.836,0.974,0.974,1.15,1.2909,1.8577,1.8974,1.6982,2.1921,2.1661,2.3286,2.4197,2.7465,2.9405,2.755,2.7742,2.8417,2.87812,3.1831,3.39817,4.0428,4.53675,4.597194,4.629027,5.089938,5.184638,5.141638
        Guyana,installed capacity ,Central & South America,0.163,0.172,0.168,0.168,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.302,0.302,0.301,0.27649,0.27649,0.27649,0.27349,0.26218,0.27664,0.28714,0.28814,0.28814,0.3994,0.36587,0.36827,0.37272,0.389615,0.41148,0.419926,0.401195,0.389242,0.389243,0.378455,0.379955,0.379955
        Haiti,installed capacity ,Central & South America,0.126,0.126,0.126,0.126,0.126,0.146,0.146,0.153,0.153,0.153,0.137,0.137,0.145,0.145,0.145,0.145,0.155,0.155,0.241,0.2396,0.26286,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.24,0.2665,0.2665,0.2669,0.3233,0.320507,0.333,0.33613,0.345,0.37101,0.47128,1.47128,1.47128
        Honduras,installed capacity ,Central & South America,0.224,0.244,0.243,0.285,0.285,0.285,0.285,0.29,0.29,0.36,0.584,0.584,0.584,0.599,0.599,0.61,0.635,0.737,0.768,0.8653,0.8977,0.9472,1.1076,1.1158,1.1278,1.5858,1.608,1.6668,1.6748,1.7014,1.705201,1.7598,1.89168,1.91975,2.02436,2.416056,2.67777,2.860556,2.91532,2.99699,3.08579,3.09779
        Jamaica,installed capacity ,Central & South America,0.74,0.74,0.74,0.699,0.732,0.732,0.74,0.732,0.732,0.732,0.736,0.736,0.736,1.186,1.186,1.186,1.186,1.293,1.2921,1.2921,1.467,1.3811,1.42822,1.1326,1.1936,1.19159,1.192,1.192,0.8439,0.8469,0.8689,0.8699,0.9438,0.97713,0.97913,0.97913,1.06013,1.08813,1.09113,1.21613,1.21613,1.21613
        Martinique,installed capacity ,Central & South America,0.065,0.07,0.075,0.082,0.086,0.09,0.095,0.11,0.11,0.11,0.258,0.258,0.258,0.322,0.322,0.342,0.396,0.396,0.396,0.396,0.396,0.396,0.4,0.4,0.401,0.4011,0.4011,0.4011,0.4051,0.4191,0.4311,0.4531,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Montserrat,installed capacity ,Central & South America,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.002,0.001,0.01,0.01,0.01,0.01,0.01,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.00622,0.00544,0.00544,0.00544,0.00544,0.00544,0.00544,0.00644
        Netherlands Antilles,installed capacity ,Central & South America,0.35,0.35,0.35,0.35,0.35,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.242,0.242,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.255,0.2552,0.2552,0.3897,0.3941,0.3989,0.4296,0.43529,0.38125,0.38669,0.39,0.391,0.391
        Nicaragua,installed capacity ,Central & South America,0.365,0.364,0.36,0.359,0.359,0.35,0.35,0.353,0.353,0.356,0.356,0.387,0.387,0.387,0.387,0.387,0.376,0.4015,0.6378,0.5712,0.66932,0.6554,0.7138,0.7584,0.87621,0.89633,0.88455,0.95192,1.01306,1.10445,1.19629,1.24344,1.42711,1.42503,1.46217,1.48017,1.57247,1.65832,1.66072,1.823506,1.838506,1.838506
        Panama,installed capacity ,Central & South America,0.566,0.564,0.585,0.879,0.898,0.894,0.899,0.942,0.942,0.952,0.957,0.957,0.957,0.959,0.957,0.957,0.959,0.984,1.049,1.1821,1.2581,1.2697,1.206,1.334,1.5937,1.6326,1.478,1.52,1.615,1.8,1.911,2.133,2.418,2.5203,2.8018,3.1447,3.3018,3.4675,3.8235,4.1299,4.15,4.341
        Paraguay,installed capacity ,Central & South America,0.24,0.294,0.294,0.644,1.337,1.635,3.384,4.434,5.484,5.833,6.533,6.533,6.533,6.533,6.533,6.913,7.151,7.433,7.433,7.4285,7.4285,7.4161,7.4161,7.4161,7.4161,7.4161,8.116,8.136,8.136,8.816,8.816001,8.816005,8.816005,8.864175,8.864175,8.864175,8.849975,8.849975,8.849975,8.832557,8.832557,8.832557
        Peru,installed capacity ,Central & South America,3.238,3.377,3.424,3.502,3.514,3.748,3.871,4.006,4.012,4.141,4.182,4.172,4.152,4.375,4.43,4.553,4.632,5.036,5.6411,5.6139,6.10155,5.9411,5.97087,6.01041,6.05667,6.2832,6.7017,7.0877,7.2177,8.0617,8.2137,9.0497,9.3067,10.9297,10.281,10.899,13.822,14.595,14.907,15.119662,15.396662,15.341662
        Puerto Rico,installed capacity ,Central & South America,4.3,4.1,4.1,4.1,4.1,4.2,4.2,4.22,4.22,4.23,4.23,4.23,4.23,4.23,4.396,4.396,4.396,4.396,4.903,4.9178,4.9028,4.9028,5.358,5.358,5.357425,5.402,5.493,5.515,5.457,5.841,6.033,6.034,6.2,6.23,6.235,6.369,6.406,6.437,5.974,6.3476,6.3986,6.5286
        Saint Kitts and Nevis,installed capacity ,Central & South America,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.019,0.019,0.019,0.02,0.05,0.052,0.052,0.052,0.052,0.052,0.049,0.0549,0.0549,0.055,0.0552,0.0572,0.0616,0.062,0.0636,0.0636,0.0646,0.0644,0.071,0.071,0.071,0.071
        Saint Lucia,installed capacity ,Central & South America,0.016,0.016,0.016,0.016,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.0317,0.0329,0.0402,0.0445,0.0445,0.0445,0.0599,0.0599,0.0599,0.0664,0.0664,0.0664,0.0568,0.0568,0.0658,0.0658,0.076,0.076,0.076,0.076,0.076,0.0885,0.0885,0.0885,0.0894,0.0894,0.0894,0.0924,0.0924,0.0924,0.0924
        Saint Vincent/Grenadines,installed capacity ,Central & South America,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.016,0.016,0.0156,0.0339,0.0339,0.0376,0.0366,0.04,0.0417,0.0417,0.0417,0.0417,0.041,0.041,0.0525,0.0526,0.0529,0.0516,0.0539,0.0544,0.049,0.046,0.0493,0.0493,0.0483
        Suriname,installed capacity ,Central & South America,0.409,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.4102,0.4663,0.467,0.537,0.5024,0.5035,0.5102,0.5328,0.5355,0.5427,0.5437,0.5337
        The Bahamas,installed capacity ,Central & South America,0.307,0.361,0.406,0.406,0.406,0.406,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.455,0.493,0.493,0.493,0.493,0.493,0.4933,0.5914,0.592,0.592,0.5765,0.5765,0.5765,0.5765,0.5765,0.5775,0.5775,0.5775
        Trinidad and Tobago,installed capacity ,Central & South America,0.832,0.76,0.76,0.982,0.985,0.985,0.985,0.985,0.985,0.985,1.15,1.15,1.15,1.15,1.15,1.15,1.253,1.253,1.253,1.417,1.4221,1.4224,1.4756,1.464,1.4644,1.4635,1.4277,1.4719,1.658,1.6583,1.77,2.222,2.496,2.499,2.504,2.50801,2.51101,2.51501,2.16201,2.12401,2.12401,2.12401
        Turks and Caicos Islands,installed capacity ,Central & South America,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.012,0.015,0.02,0.025,0.03,0.035,0.037,0.048,0.048,0.054,0.057,0.065,0.076,0.076,0.079,0.08203,0.08203,0.08219,0.08444,0.08444,0.086,0.086
        U.S. Virgin Islands,installed capacity ,Central & South America,0.341,0.341,0.341,0.341,0.341,0.341,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.3453,0.331,0.3171,0.3211,0.32495,0.32491,0.32111,0.32611,0.32611,0.32611,0.32601
        Uruguay,installed capacity ,Central & South America,0.944,1.364,1.339,1.301,1.291,1.449,1.449,1.449,1.681,1.681,1.681,1.748,2.018,2.037,2.2,2.142,2.174,2.187,2.179,2.178,2.19,2.18,2.184,2.183,2.057,2.061,2.26045,2.60745,2.7261,2.8199,2.9198,2.9408,3.1547,3.70145,4.126778,4.412866,4.3361,4.9701,5.3415,5.3516,5.3556,5.3556
        Venezuela,installed capacity ,Central & South America,9.225,10.125,10.875,12.499,15.511,18.194,19.357,17.444,18.52,18.52,19.033,19.283,18.912,18.966,18.966,19.07,20.764,21.551,21.66,21.292,21.233,21.318,20.577,20.577,22.124,22.135,22.215,22.54,23.1877,24.84616,26.1593,27.0103,29.02518,31.61539,31.79188,32.34514,33.25316,33.20816,33.20716,32.96318,32.95618,32.95618
        Algeria,distribution losses ,Africa,0.777,0.954,1.065,1.39,1.649,1.846,1.854,1.845,2.135,2.2,2.313,2.624,2.228,3.029,3.214,3.34,3.815,4.373,4.581,4.73,4.105,4.337,4.346,4.209,4.976,4.475,6.295,6.647,7.287,7.859,9.091,9.899,11.068,11.023,11.003,11.196,10.682,10.869,9.904,9.897,8.98001,8.770749362
        Angola,distribution losses ,Africa,0.169,0.169,0.18,0.196,0.168,0.202,0.202,0.203,0.204,0.205,0.211,0.267,0.27,0.27,0.271,0.273,0.292,0.115,0.192,0.194,0.211,0.238,0.258,0.288,0.59,0.662,0.39,0.431,0.416,0.474,0.627,0.637,0.699,0.926,1.068,1.078,1.167,1.207373,1.447861,1.741409,1.845236,1.868901294
        Benin,distribution losses ,Africa,0.021,0.026,0.016,0.032,0.028,0.03,0.03,0.039,0.044,0.04,0.043,0.049,0.032,0.043,0.038,0.042,0.04,0.042,0.044,0.053,0.059,0.087,0.098,0.107,0.114,0.113,0.126,0.125,0.14,0.208,0.207,0.204,0.212,0.229,0.232,0.277,0.288,0.297,0.295489,0.363,0.346,0.361714286
        Botswana,distribution losses ,Africa,0.03101,0.03514,0.03423,0.03038,0.03115,0.03192,0.03766,0.05922,0.056,0.05579,0.05964,0.06153,0.07616,0.07189,0.07308,0.07329,0.05313,0.0609,0.144,0.144,0.164,0.11,0.117,0.19,0.171,0.214,0.29,0.343,0.327,0.381,0.333,0.434,0.393,0.34,0.255,0.529,0.564,0.579,0.509,0.631,0.667,0.667
        Burkina Faso,distribution losses ,Africa,0.00686,0.00756,0.00805,0.00819,0.00791,0.00805,0.00854,0.00931,0.01001,0.01071,0.01218,0.01274,0.0133,0.01435,0.01442,0.01624,0.01841,0.01974,0.02184,0.02436,0.049,0.064,0.057,0.069,0.0764,0.082,0.0849,0.103,0.095,0.102,0.1031,0.1148,0.1354,0.1578,0.1745,0.1832,0.1832,0.2235,0.219,0.1614,0.18,0.18
        Burundi,distribution losses ,Africa,0.00021,0.00028,0.00028,0.00175,0.00287,0.00329,0.00434,0.00665,0.00728,0.00721,0.00763,0.00784,0.00742,0.0077,0.00812,0.00833,0.00826,0.00847,0.00777,0.00693,0,0.025,0.03,0.029,0.027,0.028,0.025,0.03,0.032,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.040009672
        Cabo Verde,distribution losses ,Africa,0.00105,0.00105,0.00147,0.00154,0.00182,0.00189,0.00196,0.00217,0.00231,0.00231,0.00273,0.0035,0.00399,0.00462,0.00525,0.00546,0.00581,0.00616,0.00672,0.0077,0.0208,0.03728,0.03074,0.035624,0.040585,0.040883,0.054069,0.06776,0.07656,0.07706,0.08443,0.08903,0.09726,0.10214,0.10277,0.1044,0.1178,0.1305,0.1261,0.1272,0.13,0.135423643
        Cameroon,distribution losses ,Africa,0.107,0.146,0.121,0.144,0.219,0.188,0.311,0.28,0.3,0.304,0.352,0.376,0.377,0.375,0.507,0.608,0.587,0.612,0.629,0.695,0.761,0.909,0.763,0.877,0.79,0.698,0.629,0.49,0.538,0.54,0.58,1.091,1.602,1.879,2.114,1.663,1.693,1.79,1.805,1.864,1.981,1.981
        Central African Republic,distribution losses ,Africa,0.00469,0.00462,0.0049,0.00476,0.00504,0.00539,0.00651,0.00637,0.00644,0.00644,0.00651,0.00644,0.00658,0.00665,0.00693,0.007,0.00714,0.00728,0.00714,0.00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
        Chad,distribution losses ,Africa,0.00308,0.00336,0.00343,0.00336,0.00343,0.00357,0.00455,0.00553,0.00532,0.00539,0.00595,0.00574,0.00553,0.00567,0.0056,0.00588,0.00595,0.00595,0.00602,0.00602,0.00665,0.007,0.00749,0.00805,0.00854,0.00903,0.0091,0.00903,0.0105,0.01464,0.016,0.01744,0.03525,0.04035,0.0429,0.0435,0.0441,0.04485,0.04545,0.0462,0.0462,0.04885
        Comoros,distribution losses ,Africa,0.00063,0.0007,0.0007,0.00077,0.00084,0.00098,0.00098,0.00098,0.00098,0.00112,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00112,0.00112,0.00119,0.00119,0.008062,0.008618,0.009174,0.00973,0.012204,0.013204,0.013927,0.01301,0.011954,0.012899,0.01768,0.015957,0.016235,0.015595,0.014594,0.014706,0.016235,0.025258,0.027364,0.03012,0.035,0.036505214
        Congo-Brazzaville,distribution losses ,Africa,0.014,0.02,0.024,0.096,0.036,0.146,0.027,0.039,0.066,0.071,0.097,0.09,0.092,0.113,0.083,0.11,0.124,0.121,0.143,0.091,0.259,0.294,0.378,0.367,0.431,0.426,0.393,0.37,0.354,0.379,0.466,0.671,0.757,0.814,0.827,1.234,1.362,1.324,1.384,1.623,1.713,1.807285714
        Congo-Kinshasa,distribution losses ,Africa,0.37,0.552,0.566,0.596,0.591,0.597,0.599,0.606,0.55,0.732,1.116,0.725,0.576,0.201,0.205,0.207,0.185,0.188,0.19,0.2,0.177,0.162,0.329,0.2,1.012,0.834,0.477,0.382,0.824,0.384,0.392,0.561,0.43,0.466,1.895,1.26,1.216,1.443,1.291,2.141,2.31,2.31
        Cote d'Ivoire,distribution losses ,Africa,0.28,0.302,0.312,0.31,0.239,0.285,0.298,0.348,0.37,0.352,0.364,0.349,0.373,0.365,0.383,0.477,0.452,0.477,0.514,0.707,0.699,0.658,0.685,0.691,0.985,1.132,1.182,1.272,1.365,1.365,1.204,1.365,1.366,1.68,1.187,1.744,2.098,1.627,1.874,1.956,1.737,1.737
        Djibouti,distribution losses ,Africa,0.0077,0.00805,0.00861,0.00973,0.00959,0.01078,0.0112,0.01127,0.01148,0.01155,0.01176,0.01183,0.01183,0.01197,0.01197,0.01211,0.01218,0.01232,0.01232,0.01232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.12,0.12,0.12
        Egypt,distribution losses ,Africa,2.395,2.749,1.715,2.353,4.025,6.971,3.597,5.59,5.666,5.634,4.207,4.425,4.713,5.017,4.891,5.54,4.04,3.779,4.358,4.905,10.75,10.905,11.281,10.76,12.315,12.604,12.563,13.119,13.034,13.34,14.918,13.328,18.305,24.224,20.724,29.409,38.825,34.012319,34.502421,34.038662,33.1165,33.1165
        Equatorial Guinea,distribution losses ,Africa,0.00119,0.00105,0.00098,0.00084,0.00105,0.00119,0.00112,0.00119,0.00119,0.00119,0.00119,0.00119,0.00126,0.00126,0.00126,0.00133,0.00133,0.0014,0.00147,0.00147,0.005,0.009,0.009,0.01,0.012,0.029,0.038,0.046,0.056,0.064,0.071,0.078,0.073,0.084,0.124,0.146,0.158,0.150626,0.138036,0.149492,0.140835,0.148180357
        Eritrea,distribution losses ,Africa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,0.024,0.024,0.029,0.032,0.038,0.038,0.039,0.043,0.044,0.048,0.046,0.037,0.043,0.045,0.035,0.039,0.043,0.037,0.026,0.027,0.03,0.035,0.042301,0.044611,0.046054,0.047589,0.047983383
        Eswatini,distribution losses ,Africa,0.01911,0.02058,0.01792,0.01638,0.02149,0.02555,0.02569,0.02667,0.02674,0.02933,0.02443,0.02828,0.02828,0.02828,0.02828,0.0287,0.0287,0.0287,0.02856,0.0287,0.124,0.127,0.153,0.156,0.14,0.169,0.166,0.166,0.171,0.168,0.161,0.175,0.169,0.171,0.181,0.172,0.198,0.1224,0.1838,0.193,0.1453,0.169499989
        Ethiopia,distribution losses ,Africa,0.054,0.039,0.07,0.08,0.068,0.079,0.08,0.011,0.013,0.013,0.12,0.121,0.124,0.138,0.145,0.153,0.16,0.161,0.165,0.164,0.167,0.201,0.204,0.23,0.254,0.285,0.327,0.355,0.484,0.717,1.135,1.552,1.74,1.655,2.149,2.085,2.597,2.945,3.171,3.282646,3.382708,3.403263413
        Gabon,distribution losses ,Africa,0.004,0.005,0.007,0.006,0.008,0.009,0.01,0.012,0.013,0.005,0.105,0.1,0.105,0.106,0.256,0.302,0.269,0.278,0.268,0.245,0.234,0.246,0.261,0.268,0.272,0.296,0.31,0.306,0.334,0.362,0.377,0.404,0.424,0.453,0.449,0.474,0.488,0.431156,0.469021,0.40552,0.50462,0.481838177
"        Gambia, The",distribution losses ,Africa,0.00259,0.00315,0.00308,0.00315,0.00329,0.00336,0.00371,0.00406,0.00427,0.00399,0.00462,0.00462,0.00469,0.00483,0.00483,0.0049,0.00497,0.00525,0.00574,0.00637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691,0.0698,0.07,0.070005297
        Ghana,distribution losses ,Africa,0.276,0.252,0.121,0.111,0.059,0.324,0.34,0.291,0.371,0.314,0.18,0.194,0.216,0.135,0.156,0.204,0.189,0.197,0.128,0.123,1.616,1.154,1.752,1.591,1.601,1.627,1.692,1.553,1.844,2.088,1.923,1.587,1.43505,1.661169,1.739,0.6129,0.8761,0.8053,1.1916,1.1837,1.2856,1.247264737
        Guinea,distribution losses ,Africa,0.02541,0.02576,0.02632,0.02716,0.03199,0.03262,0.03318,0.03339,0.03416,0.03437,0.03465,0.035,0.03514,0.03549,0.03563,0.03654,0.03689,0.0434,0.04501,0.05075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.2871,0.3029,0.3,0.297085577
        Guinea-Bissau,distribution losses ,Africa,0.00091,0.00091,0.00091,0.00091,0.00098,0.00098,0.00119,0.00133,0.00147,0.00203,0.00266,0.00273,0.00287,0.00308,0.00322,0.00329,0.00336,0.0035,0.0035,0.00357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0.006,0.006000214
        Kenya,distribution losses ,Africa,0.238,0.256,0.284,0.294,0.278,0.31,0.335,0.367,0.475,0.455,0.486,0.507,0.51,0.566,0.569,0.75,0.764,0.948,0.945,0.959,0.867,0.945,1.053,0.941,0.96,1.024,1.096,1.11,1.062,1.057,1.068,1.18,1.404,1.476,1.693,1.642,1.965,1.9375,2.4445,2.7505,2.7907,2.91175
        Lesotho,distribution losses ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0.115,0.1299,0.13,0.129993997
        Liberia,distribution losses ,Africa,0.05964,0.05607,0.05642,0.05558,0.04872,0.0511,0.05488,0.0553,0.056,0.05495,0.02107,0.01911,0.01974,0.0196,0.0196,0.0196,0.0196,0.02058,0.021,0.014,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.0285,0.0325,0.0325,0.0325,0.0325,0.033,0.042,0.042,0.042,0.043,0.048,0.049122161
        Libya,distribution losses ,Africa,1.194,1.557,1.94,2.344,2.772,3.227,2.645,1.77,1.571,1.612,3.173,2.927,2.606,2.741,2.851,2.653,3.083,3.393,2.63,2.923,3.592,3.833,2.198,2.375,2.542,2.842,2.462,3.546,9.494,11.069,11.641,8.197,6.521,7.215,7.186,7.127,6.327,6.683,6.893,6.985,5.95,6.18792457
        Madagascar,distribution losses ,Africa,0.02919,0.0294,0.03017,0.03164,0.03332,0.03381,0.03374,0.03346,0.0343,0.03787,0.04018,0.03976,0.0406,0.04067,0.04088,0.04263,0.04648,0.04865,0.0525,0.05439,0.033,0.038,0.039,0.045,0.046,0.047,0.045,0.053,0.05,0.062,0.069,0.077,0.084,0.094,0.097,0.103,0.108,0.110485,0.104321,0.131024,0.113898,0.137314403
